x(m)  Ex_total(V/m)  Ey_total(V/m)  Ex_dipole(V/m)  Ey_dipole(V/m)  Ex_quadrupole(V/m)  Ey_quadrupole(V/m)  Ex_sextupole(V/m)  Ey_sextupole(V/m)  Ex_octupole(V/m)  Ey_octupole(V/m)
-2.999999999999999889e-02 -1.145737611400000020e+02 -1.422123444489999907e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -3.421521027279406990e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.004379752095611366e+04 -7.447740456816040577e+00 -8.054895878590859278e-11
-2.900000000000000147e-02 -3.906320777149999657e+01 -1.423944511470000027e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -3.307470326370093971e+00 -0.000000000000000000e+00 0.000000000000000000e+00 9.385370794582324379e+03 -6.727516370418015867e+00 -7.275957614183425903e-11
-2.800000000000000058e-02 -2.704390059230000176e+01 -1.425257739619999891e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -3.193419625460780065e+00 -0.000000000000000000e+00 0.000000000000000000e+00 8.749263618255105030e+03 -6.055288833630583234e+00 -6.548928678771353750e-11
-2.699999999999999969e-02 -8.849119127490000380e+01 -1.426796339669999899e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -3.079368924551466602e+00 -0.000000000000000000e+00 0.000000000000000000e+00 8.135475991974451972e+03 -5.429402793018892837e+00 -5.872019095492736039e-11
-2.599999999999999881e-02 7.213068488140000234e+00 -1.428108515570000047e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -2.965318223642152695e+00 -0.000000000000000000e+00 0.000000000000000000e+00 7.544007915740369754e+03 -4.848203195148101052e+00 -5.243438887485664052e-11
-2.500000000000000139e-02 -4.178247060570000393e+00 -1.429316234189999988e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -2.851267522732839677e+00 -0.000000000000000000e+00 0.000000000000000000e+00 6.974859389552858374e+03 -4.310034986583358041e+00 -4.661398077888229718e-11
-2.400000000000000050e-02 2.015003064780000130e+01 -1.430450755869999994e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -2.737216821823525770e+00 -0.000000000000000000e+00 0.000000000000000000e+00 6.428030413411913287e+03 -3.813243113889812630e+00 -4.124106689838519795e-11
-2.299999999999999961e-02 -9.697838191760000726e+00 -1.431423409800000023e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -2.623166120914212307e+00 -0.000000000000000000e+00 0.000000000000000000e+00 5.903520987317538129e+03 -3.356172523632620752e+00 -3.629774746474628797e-11
-2.199999999999999872e-02 -1.627871738620000031e+01 -1.432310999479999999e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -2.509115420004898400e+00 -0.000000000000000000e+00 0.000000000000000000e+00 5.401331111269731991e+03 -2.937168162376933012e+00 -3.176612270934646712e-11
-2.100000000000000130e-02 -9.152071386830000321e+00 -1.433165068519999972e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -2.395064719095585382e+00 -0.000000000000000000e+00 0.000000000000000000e+00 4.921460785268496693e+03 -2.554574976687902232e+00 -2.762829286356665146e-11
-2.000000000000000042e-02 2.168537670830000152e+01 -1.433932073629999999e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -2.281014018186271475e+00 -0.000000000000000000e+00 0.000000000000000000e+00 4.463910009313828596e+03 -2.206737913130679019e+00 -2.386635815878773443e-11
-1.899999999999999953e-02 3.130934121910000090e-01 -1.434643759929999942e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -2.166963317276958012e+00 -0.000000000000000000e+00 0.000000000000000000e+00 4.028678783405729973e+03 -1.892001918270415528e+00 -2.046241882639063207e-11
-1.799999999999999864e-02 -2.033179814429999865e+01 -1.435269089480000082e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -2.052912616367644105e+00 -0.000000000000000000e+00 0.000000000000000000e+00 3.615767107544200826e+03 -1.608711938672264363e+00 -1.739857509775625074e-11
-1.700000000000000122e-02 -1.991530675219999935e+01 -1.435841979629999958e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -1.938861915458330865e+00 -0.000000000000000000e+00 0.000000000000000000e+00 3.225174981729241608e+03 -1.355212920901378348e+00 -1.465692720426551943e-11
-1.600000000000000033e-02 3.375990506810000014e+00 -1.436375114760000026e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -1.824811214549017180e+00 -0.000000000000000000e+00 0.000000000000000000e+00 2.856902405960850047e+03 -1.129849811522907643e+00 -1.221957537729931863e-11
-1.499999999999999944e-02 1.858231103520000005e+01 -1.436844499709999887e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -1.710760513639703495e+00 -0.000000000000000000e+00 0.000000000000000000e+00 2.510949380239028415e+03 -9.309675571020050722e-01 -1.006861984823857410e-11
-1.400000000000000029e-02 3.595448692699999782e+00 -1.437263769060000079e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -1.596709812730390032e+00 -0.000000000000000000e+00 0.000000000000000000e+00 2.187315904563776257e+03 -7.569111042038229042e-01 -8.186160848464192187e-12
-1.299999999999999940e-02 -1.070795734870000082e+01 -1.437647074869999895e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -1.482659111821076348e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.886001978935092438e+03 -6.060253993935126315e-01 -6.554298609357080065e-12
-1.200000000000000025e-02 -9.141738974929999983e+00 -1.437986177810000023e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -1.368608410911762885e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.607007603352978322e+03 -4.766553892362265787e-01 -5.155133362298149744e-12
-1.099999999999999936e-02 1.377390312149999962e+00 -1.438281793139999965e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -1.254557710002449200e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.350332777817432998e+03 -3.671460202971166265e-01 -3.970765338668308390e-12
-1.000000000000000021e-02 9.081797722300000153e-01 -1.438561592829999980e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -1.140507009093135737e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.115977502328457149e+03 -2.758422391413348773e-01 -2.983294769848466803e-12
-8.999999999999999320e-03 5.716769885209999735e+00 -1.438790610219999915e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -1.026456308183822053e+00 -0.000000000000000000e+00 0.000000000000000000e+00 9.039417768860502065e+02 -2.010889923340330454e-01 -2.174821887219531343e-12
-8.000000000000000167e-03 -7.949354349000000042e+00 -1.439008582630000077e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -9.124056072745085899e-01 -0.000000000000000000e+00 0.000000000000000000e+00 7.142256014902125116e+02 -1.412312264403634554e-01 -1.527446922162414829e-12
-7.000000000000000146e-03 -8.751215371560000733e+00 -1.439191539880000055e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -7.983549063651950162e-01 -0.000000000000000000e+00 0.000000000000000000e+00 5.468289761409440644e+02 -9.461388802547786303e-02 -1.023270106058024023e-12
-6.000000000000000125e-03 5.153548265340000434e+00 -1.439348900429999921e+06 -2.273736754432320595e-13 -1.439760084574431181e+06 -6.843042054558814424e-01 -0.000000000000000000e+00 0.000000000000000000e+00 4.017519008382445804e+02 -5.958192365452832234e-02 -6.443916702872687180e-13
